EXECUTION TIME DATA
tid 0 : 504
tid 1 : 798
tid 2 : 626
tid 3 : 766
tid 4 : 8344
tid 5 : 424
tid 6 : 426
tid 7 : 420
tid 8 : 8362
tid 9 : 426
tid 10 : 452
tid 11 : 444
tid 12 : 962
tid 13 : 600
tid 14 : 742
tid 15 : 728
tid 16 : 11652
tid 17 : 726
tid 18 : 590
tid 19 : 658
tid 20 : 8512
tid 21 : 560
tid 22 : 402
tid 23 : 404
tid 24 : 24464
tid 25 : 408
tid 26 : 444
tid 27 : 406
tid 28 : 1062
tid 29 : 578
tid 30 : 646
tid 31 : 598
tid 32 : 9692
tid 33 : 4664
tid 34 : 4708
tid 35 : 4688
tid 36 : 26932
tid 37 : 4484
tid 38 : 3490
tid 39 : 27544
tid 40 : 11512
tid 41 : 3490
tid 42 : 27660
tid 43 : 3484
tid 44 : 4872
tid 45 : 4530
tid 46 : 4726
tid 47 : 4628
tid 48 : 2754
tid 49 : 4710
tid 50 : 4558
tid 51 : 4662
tid 52 : 3524
tid 53 : 10500
tid 54 : 3488
tid 55 : 3764
tid 56 : 3480
tid 57 : 3478
tid 58 : 3596
tid 59 : 3470
tid 60 : 4752
tid 61 : 4546
tid 62 : 4624
tid 63 : 4612
tid 64 : 26372
tid 65 : 41670
tid 66 : 41708
tid 67 : 51932
tid 68 : 88600
tid 69 : 77602
tid 70 : 78324
tid 71 : 77890
tid 72 : 72484
tid 73 : 102864
tid 74 : 79034
tid 75 : 93070
tid 76 : 39256
tid 77 : 41380
tid 78 : 43258
tid 79 : 38116
tid 80 : 44156
tid 81 : 42574
tid 82 : 38716
tid 83 : 38220
tid 84 : 82642
tid 85 : 93622
tid 86 : 58294
tid 87 : 51089
tid 88 : 87276
tid 89 : 42737
tid 90 : 72382
tid 91 : 52630
tid 92 : 53628
tid 93 : 40182
tid 94 : 38350
tid 95 : 38322
tid 96 : 258825
tid 97 : 243206
tid 98 : 249148
tid 99 : 219263
tid 100 : 735368
tid 101 : 673946
tid 102 : 635873
tid 103 : 744003
tid 104 : 613924
tid 105 : 748257
tid 106 : 763279
tid 107 : 812474
tid 108 : 243339
tid 109 : 199012
tid 110 : 188060
tid 111 : 251266
tid 112 : 227588
tid 113 : 262848
tid 114 : 261578
tid 115 : 267471
tid 116 : 641024
tid 117 : 700652
tid 118 : 728314
tid 119 : 776635
tid 120 : 555302
tid 121 : 734479
tid 122 : 654613
tid 123 : 740668
tid 124 : 252472
tid 125 : 250531
tid 126 : 233516
tid 127 : 250510
