Thread ID:0, Weight:25, Matrix Size:32
Thread ID:1, Weight:25, Matrix Size:32
Thread ID:2, Weight:25, Matrix Size:32
Thread ID:3, Weight:25, Matrix Size:32
Thread ID:4, Weight:25, Matrix Size:32
Thread ID:5, Weight:25, Matrix Size:32
Thread ID:6, Weight:25, Matrix Size:32
Thread ID:7, Weight:25, Matrix Size:32
Thread ID:8, Weight:50, Matrix Size:32
Thread ID:9, Weight:50, Matrix Size:32
Thread ID:10, Weight:50, Matrix Size:32

Thread(id:0, group:0) finished (TIME : 0 s and 348 us)
Thread ID:11, Weight:50, Matrix Size:32
Thread ID:12, Weight:50, Matrix Size:32
Thread ID:13, Weight:50, Matrix Size:32

Thread(id:4, group:0) finished (TIME : 0 s and 458 us)
Thread ID:14, Weight:50, Matrix Size:32
Thread ID:15, Weight:50, Matrix Size:32
Thread ID:16, Weight:75, Matrix Size:32
Thread ID:17, Weight:75, Matrix Size:32
Thread ID:18, Weight:75, Matrix Size:32

Thread(id:8, group:0) finished (TIME : 0 s and 598 us)
Thread ID:19, Weight:75, Matrix Size:32

Thread(id:1, group:1) finished (TIME : 0 s and 639 us)
Thread ID:20, Weight:75, Matrix Size:32
Thread ID:21, Weight:75, Matrix Size:32
Thread ID:22, Weight:75, Matrix Size:32
Thread ID:23, Weight:75, Matrix Size:32
Thread ID:24, Weight:100, Matrix Size:32
Thread ID:25, Weight:100, Matrix Size:32
Thread ID:26, Weight:100, Matrix Size:32
Thread ID:27, Weight:100, Matrix Size:32
Thread ID:28, Weight:100, Matrix Size:32
Thread ID:29, Weight:100, Matrix Size:32
Thread ID:30, Weight:100, Matrix Size:32
Thread ID:31, Weight:100, Matrix Size:32

Thread(id:5, group:1) finished (TIME : 0 s and 743 us)
Thread ID:32, Weight:25, Matrix Size:64
Thread ID:33, Weight:25, Matrix Size:64
Thread ID:34, Weight:25, Matrix Size:64
Thread ID:35, Weight:25, Matrix Size:64
Thread ID:36, Weight:25, Matrix Size:64
Thread ID:37, Weight:25, Matrix Size:64
Thread ID:38, Weight:25, Matrix Size:64
Thread ID:39, Weight:25, Matrix Size:64
